Day,Tag,Time,Percentage
2021-01-14,Overwatch,4:36:00,42.66
2021-01-14,Microsoft Edge,2:37:00,24.27
2021-01-14,PyCharm,2:35:00,23.96
2021-01-14,Notepad,0:23:00,3.55
2021-01-14,Visual Studio Code,0:13:00,2.01
2021-01-15,Overwatch,4:43:00,51.55
2021-01-15,PyCharm,1:52:00,20.40
2021-01-15,Discord,1:06:00,12.02
2021-01-15,Microsoft Edge,0:41:00,7.47
2021-01-16,Overwatch,2:25:00,71.43
2021-01-16,Microsoft Edge,0:55:00,27.09
2021-01-17,Overwatch,6:36:00,64.71
2021-01-17,Microsoft Edge,3:21:00,32.84
2021-01-18,Overwatch,1:44:00,47.49
2021-01-18,Microsoft Edge,1:13:00,33.33
2021-01-18,Application Frame Host,0:20:00,9.13
2021-01-19,Microsoft Edge,5:50:00,41.72
2021-01-19,PyCharm,2:50:00,20.26
2021-01-19,Overwatch,2:48:00,20.02
2021-01-19,Postman,1:45:00,12.51
2021-01-20,Overwatch,2:13:00,60.45
2021-01-20,Microsoft Edge,1:22:00,37.27
2021-01-21,Microsoft Edge,3:43:00,44.07
2021-01-21,Overwatch,3:12:00,37.94
2021-01-21,Postman,0:49:00,9.68
2021-01-21,PyCharm,0:09:00,1.78
2021-01-22,Overwatch,2:43:00,77.62
2021-01-22,Microsoft Edge,0:36:00,17.14
2021-01-23,Overwatch,3:50:00,56.10
2021-01-23,Microsoft Edge,2:03:00,30.00
2021-01-23,PyCharm,0:34:00,8.29
2021-01-23,Postman,0:15:00,3.66
2021-01-24,Microsoft Edge,2:21:00,35.97
2021-01-24,Overwatch,2:13:00,33.93
2021-01-24,PyCharm,1:47:00,27.30
2021-01-24,Postman,0:08:00,2.04
2021-01-25,Overwatch,3:16:00,40.00
2021-01-25,Microsoft Edge,2:59:00,36.53
2021-01-25,Visual Studio Code,0:40:00,8.16
2021-01-25,Application Frame Host,0:17:00,3.47
2021-01-25,Webstorm,0:09:00,1.84
2021-01-26,Microsoft Edge,4:34:00,35.77
2021-01-26,Overwatch,4:13:00,33.03
2021-01-26,Visual Studio Code,3:32:00,27.68
2021-01-27,Overwatch,2:11:00,71.98
2021-01-27,Visual Studio Code,0:21:00,11.54
2021-01-27,PyCharm,0:11:00,6.04
2021-01-27,Postman,0:10:00,5.49
2021-01-27,Microsoft Edge,0:04:00,2.20
2021-01-28,Overwatch,4:13:00,72.08
2021-01-28,Microsoft Edge,1:20:00,22.79
2021-01-28,Application Frame Host,0:04:00,1.14
2021-01-29,Overwatch,4:46:00,60.85
2021-01-29,Microsoft Edge,2:39:00,33.83
2021-01-30,Microsoft Edge,1:14:00,60.66
2021-01-30,Overwatch,0:46:00,37.70
2021-01-31,Webstorm,5:39:00,43.35
2021-01-31,Microsoft Edge,4:56:00,37.85
2021-01-31,Overwatch,1:26:00,11.00
2021-01-31,Application Frame Host,0:28:00,3.58
2021-02-01,Overwatch,2:38:00,51.97
2021-02-01,Microsoft Edge,1:26:00,28.29
2021-02-01,Visual Studio Code,0:13:00,4.28
2021-02-01,Application Frame Host,0:06:00,1.97
2021-02-02,Overwatch,7:19:00,76.61
2021-02-02,Microsoft Edge,1:31:00,15.88
2021-02-03,Microsoft Edge,6:27:00,59.72
2021-02-03,Overwatch,3:02:00,28.09
2021-02-03,Webstorm,0:40:00,6.17
2021-02-03,Visual Studio Code,0:13:00,2.01
2021-02-04,Microsoft Edge,0:45:00,78.95
2021-02-04,Overwatch,0:06:00,10.53
2021-02-04,_Device_HarddiskVolume5_Windows_System32_SnippingTool_exe,0:03:00,5.26
2021-02-04,Webstorm,0:01:00,1.75
